Income,NO.
"Up to £7,000",0
"£7,001 to £14,000",0
"£14,001 to £21,000",0
"£21,001 to £28,000",0
"£28,001 to £34,000",70
"£34,001 to £41,000",71
"£41,001 to £48,000",58
"£48,001 to £55,000",78
"£55,001 to £62,000",59
"£62,001 to £69,000",38
"£69,001 to £76,000",31
"£76,001 to £83,000",28
"£83,001 or more",67
Prefer not to say,0
